Link Profile Pengguna;Username;Bintang ke-1;Bintang ke-2;bintang ke-3;Bintang ke-4;Bintang ke-4;Rating;Sejak Ulasan;Comment;Total Like Comment
https://lh3.googleusercontent.com/a-/ALV-UjWG6Uf-RUXih4eQox9-dycyo4B4zwjcdm4-ZID3ZWaVTUc8=w45-h45-p-rp-mo-ba6-br100;Arie scorta;1;1;1;1;1;5;10 bulan lalu;Tempat belanja sekaligus berwisata. Area yang sangat luas yang dengan berbagai toko yang memenuhi kebutuhan. Ada arena bermain anak-anak membuat mereka semakin betah. Tak lupa ada berbagai tempat kuliner tinggal pilih sesuai selera.;9
https://lh3.googleusercontent.com/a-/ALV-UjUY-vrMDCSEtvTDpQviMB30S0PLqYm3d0BjuANjWR7Hmdk=w45-h45-p-rp-mo-ba5-br100;Yesi Nurliyati;1;1;1;1;1;5;10 bulan lalu;Salah satu mall terluas di Bandung, cenah.....;0
https://lh3.googleusercontent.com/a-/ALV-UjXaqAl_JY0cU8hXBVuyaPlkDvNXeX2AMOg2owXS_uWdfA=w45-h45-p-rp-mo-ba3-br100;Wydiana Santikasari;1;1;1;1;1;5;10 bulan lalu;Seru main ke sini jalan jalan bareng ama bestie seru seruan belanja tempatnya enak adem;28
https://lh3.googleusercontent.com/a-/ALV-UjWq3p-v3E4sgWfTAV1NWTsB6C7l0YglNVl5TJOpEh64EU9r=w45-h45-p-rp-mo-ba3-br100;Ambu Myriam;1;1;1;1;1;5;10 bulan lalu;Shoping sambil wisata mini, hutan mini kebun binatang mini,taman mini suasana serasa berasa grand avenue semua branded ada disini n hrs berkantong tebal;0
https://lh3.googleusercontent.com/a-/ALV-UjW1eG7paESBkRHRhUzIEBipBWZSqk9zbx1AzadSutXH8LU=w45-h45-p-rp-mo-ba4-br100;Haries Dama;1;1;1;1;1;5;10 bulan lalu;Semua kelas bisa masuk dimall pvj bandung ini,gk dibeda2in .mantap lah;0
https://lh3.googleusercontent.com/a/ACg8ocJ54wZ0rMANqLq-EMraYSV4mV6CQomARd2uZP81HFXQ=w45-h45-p-rp-mo-ba6-br100;Arief Dedie;1;1;1;1;1;5;10 bulan lalu;Mall sudah mulai rame.;0
https://lh3.googleusercontent.com/a-/ALV-UjUpPr0NPJaNpFmnlkAMEG0TWPjW7_oYu6x-ljO59huaxDUf=w45-h45-p-rp-mo-ba4-br100;Nurul Fitri Ramdhaniah;1;1;1;1;1;5;10 bulan lalu;Salah satu Mall yg ada di Bandung!✨;0
https://lh3.googleusercontent.com/a-/ALV-UjWoxV7NdW881GuhcKlk3ogVqzjMZcP-skD5YTPrMJZXEnWm=w45-h45-p-rp-mo-ba4-br100;SHANDHRA OKA;1;1;1;1;0;4;10 bulan lalu;Ya seperti mall pada umumnya, tp tenantnya banyak mallnya juga luas banget, cocok yg bawa anak lg aktif²nya lari² atau explore sana sini. Blm berubah mallnya msh sama seperti dlu;0
https://lh3.googleusercontent.com/a-/ALV-UjWX8WLd6YnpJEWCwThllvPw4MqDz4XvT9G-cc8WrTPNrFc=w45-h45-p-rp-mo-ba4-br100;agung sofyan;1;1;1;1;0;4;10 bulan lalu;Sering kemari, selalu dgn perjuangan cari parkiran.. 😅 …;3
https://lh3.googleusercontent.com/a-/ALV-UjVv6faAm4PtdBCzRKGrXA1wfEGBlnA4j47Bt3EE2xcouW0=w45-h45-p-rp-mo-ba4-br100;Helena;1;0;0;0;0;1;10 bulan lalu;Mereka buka stand di PVJ, tapi coba cek kesana dan lihat keadaannya. Beberapa bulan sebelumnya saya kesana, dan kaget ada owl di siang hari as attraction!;0
https://lh3.googleusercontent.com/a-/ALV-UjXuUw1uMxYyqO6L6HmQVLpV4pXY3FzFOsv25Q8bt9Y0N2s=w45-h45-p-rp-mo-ba5-br100;Belavita DJ;1;1;1;1;1;5;11 bulan lalu;Udah lama banget nggak ke sini dan udah banyak yg berubah. Area parkir ada di basement, tapi ada outdoor parking juga. Beberapa spot parking ditujukkan utk small cars only. Untuk ATM center letaknya di lantai paling bawah. Food area ada di lantai bawah, meskipun ada beberapa tenants yg tutup tapi masih cukup ramai.;0
https://lh3.googleusercontent.com/a-/ALV-UjWRE0hiyUvH630m6ezWcVypn6jT3FK0Y4oNIaXk02a7Pa8=w45-h45-p-rp-mo-ba3-br100;Sarah Annisa;1;1;1;1;1;5;11 bulan lalu;Mall dengan konsep unik dan down to earth. Saya suka area taman bunga di roof top yang cocok untuk santai keluarga di sore hari. Tempatnya sepi dan cantik, aneh juga saha belum pernah lihat konten influencer bahas taman ini. …;6
https://lh3.googleusercontent.com/a-/ALV-UjVM6a8vVk5nczXiddMr5pftQWH2WqmS770glzFR3vbJhEU=w45-h45-p-rp-mo-ba5-br100;Indra Junior;1;1;1;1;1;5;11 bulan lalu;Satu dari sekian banyak Mall yang terkenal di Bandung.. Tempat nya nyaman dan luas.. Area Parkir juga banyak..Di dalamnya tersedia outlet dari Brand brand ternama.. Outlet makanan dan minuman pun banyak ragamnya juga tersedia arena bermain …;3
https://lh3.googleusercontent.com/a-/ALV-UjV71W6W_Gx3LMFU3Z4PwGjZiGWG2bzsiPuRIQrT73MkcbHB=w45-h45-p-rp-mo-ba5-br100;Ulya Farida;1;1;1;1;1;5;11 bulan lalu;PVJ tempatnya luas bgt;0
https://lh3.googleusercontent.com/a-/ALV-UjWULF63j4ZlQG3LdF2ABBqcDXieLekMldPsJ8jcVRBPFC0=w45-h45-p-rp-mo-ba4-br100;Siti Nur halimah;1;1;1;1;1;5;11 bulan lalu;Tempat nya luas, lengkap dan masih terjaga bagusnya walaupun terbilang mall tertua di Bandung. Dan semua pelayanan nya ramah, good🤩🤩 …;0
https://lh3.googleusercontent.com/a-/ALV-UjXGQ3Mb7hLqQuWtKozGy3_hcrawiynMR15PIo66Zf6V4y8=w45-h45-p-rp-mo-ba4-br100;Fitria;1;1;1;1;1;5;11 bulan lalu;Konsep mall nya menarik bgt.. bukan mall pd umumnya..  semi indoor gt.. ada outdoor nya jg.. ada tmpat ice skating, mini zoo, ada air terjun nya jg..;2
